id,scientific_field,science_field_label,degree,birth_country,study_country,study_country2,study_country3,work_country,work_country2,work_country3,current_country,student,doctoral_student,postdoc,professor,scientific_researcher,industrial_researcher,no_research,other_work,age,cultural_religion_problem,cultural_clothing_problem,cultural_namechanging_problem,cultural_infrastructure_problem,cultural_others_problem,personal_hormones_problem,personal_lifeplan_problem,personal_responsibilities_problem,personal_pregnancy_problem,personal_others_problem,work_equality_problem,work_unsupported_problem,work_collaborations_problem,work_infrastructure_problem,work_others_problem,technical_ideasharing_problem,technical_appreciation_problem,technical_publications_problem,technical_researcher_problem,technical_others_problem,cultural_any_problem,personal_any_problem,work_any_problem,technical_any_problem,birth_country_germany,birth_country_differs_from_work_or_study,age_regroup,cultural_religion_solved,cultural_clothing_solved,cultural_namechanging_solved,cultural_infrastructure_solved,cultural_others_solved,personal_hormones_solved,personal_lifeplan_solved,personal_responsibilities_solved,personal_pregnancy_solved,personal_others_solved,work_equality_solved,work_unsupported_solved,work_collaborations_solved,work_infrastructure_solved,work_others_solved,technical_ideasharing_solved,technical_appreciation_solved,technical_publications_solved,technical_researcher_solved,technical_others_solved,cultural_religion_description,cultural_religion_description_label,cultural_religion_solution_description,cultural_religion_solution_description_label,cultural_clothing_description,cultural_clothing_description_label,cultural_clothing_solution_description,cultural_clothing_solution_label,cultural_namechanging_description,cultural_namechanging_description_label,cultural_namechanging_solution_description,cultural_namechanging_solution_description_label,cultural_infrastructure_description,cultural_infrastructure_description_label,cultural_infrastructure_solution_description,cultural_infrastructure_solution_description_label,cultural_others_description,cultural_others_description_label,cultural_others_solution_description,cultural_others_solution_description_label,work_equality,label,work_equality_solution,label_1,work_unsupported,label_2,work_unsupported_solution,label_3,work_collaborations,label_4,work_collaborations_solution,label_5,work_infrastructure,label_6,work_infrastructure_solution,label_7,work_others,label_8,work_others_solution,label_9,technical_ideasharing,label_technical,technical_ideasharing_solution,label_1_technical,technical_appreciation,label_2_technical,technical_appreciation_solution,label_3_technical,technical_publications,label_4_technical,technical_publications_solution,label_5_technical,technical_researcher,label_6_technical,technical_researcher_solution,label_7_technical,technical_others,label_8_technical,technical_others_solution,label_9_technical
21,Computer Science,Computer Science,PhD,USA,Germany,USA,,USA,Germany,Sweden,Germany,No,No,No,Yes,No,No,No,,>40,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,>40,,,,Yes/Kind of,,,,Yes/Kind of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Computer Science,Computer Science,Others,Germany,Germany,,,Germany,,,Germany,No,No,No,Yes,No,No,No,,>40,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,>40,,,,,No,,No,No,No,,No,No,No,,,,No,,No,,,,,,,,,,,,,,,,,,Different perspective on working women between south and north parts of Germany.,not_connected,,,"Why, you are never equal! E.g. no chances to get a W3 position. No chances to get positions in University politics, as long as an old man is available for the same job. etc. There is no equality at University.",Politics,,,"During my time of qualification, there was no support for equality. ",NO-Support-for-Equality-Projects,,,"Often ignored, best be loud and present. Another working way would be: forget to be the idea giver. Introduce your ideas to the leading men at the place and let them sell them as their own. At least then you can start to work constructively. ",Undermining,,,,,,,,,,,,,,,no additional comments - the yes said all.,No_reason,,,,,,,"sure. Who has not? And moreover, there are only very few networking women. However, almost all successful men are networking. In contrast: females who have gained a position are often eager to bite other woman away. Sad but true.",conflict_ability_across_women,,,,,,
41,Computer Science,Computer Science,PhD,Germany,Germany,,,Germany,USA (only fo one term as an exchange Scientist),,Germany,No,No,Yes,No,No,No,No,,>40,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,>40,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Machine Learning,Computer Science,Diploma,Germany,Germany,,,,,,Germany,No,Yes,No,No,No,No,No,,26-30,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,20-30,,,,,,No,No,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Computer Science,Computer Science,Master,Germany,Germany,,,Germany,,,Germany,No,Yes,No,No,Yes,No,No,,26-30,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,20-30,,,,,,No,No,,No,,No,No,No,,,No,,Yes/Kind of,No,,,,,,,,,,,,,,,,,,,,,,No answer,,,,"No full time jobs for women, only for male phd students",Salary_expectation,,,"sexist comments and behaviour, ",Male_communication,,,,,,,,,,,No answer,,,,,,,,No answer,,Private meetings to discuss problems with boss,Help_by_others,No answer,,,,,,,
52,INformatics,Computer Science,PhD,Germany,Germany,Switzerland,,Germany,Switzerland,Australia,Germany,No,No,No,Yes,No,No,No,,30-40,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,30-40,,,,,,,Yes/Kind of,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Computer Science, Mathematics",Computer Science,Master,Germany,Germany,France,Australia,Germany,,,Germany,No,Yes,No,No,No,No,No,,26-30,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,20-30,,,,,Yes/Kind of,Yes/Kind of,No,Yes/Kind of,No,,Yes/Kind of,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Missing supervision,
2. Missing interculturality, internationality,
3. Missing exchange in the group, discipline and world wide",not_only_female/supervision/no_collaboration,"1. Not really - asking advanced researcher
2. Participating in events outside my group
3. Finding other platforms of exchange",/no_solution/workaround/workaround,"Participating at a event as ""statutory woman""",Undermining,"Deciding on my own if I -want- to participate in the event.
Taking the chance anyway.",Strengthen_self-esteem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Theoretical Computer Science,Computer Science,Master,Germany,Germany,,,Germany,,,Germany,No,Yes,No,No,Yes,No,No,,20-25,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,20-30,,,,,,,,,,,No,,Yes/Kind of,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"AI, Computer Science",Computer Science,Others,Germany,Germany,,,Germany,,,Germany,No,No,No,Yes,No,No,No,,>40,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,>40,,,,,Yes/Kind of,,,Yes/Kind of,No,,No,Yes/Kind of,,,,,No,,No,,,,,,,,,,,,,,,,,,"Safety at ways to work or from work, safety at conference ways to the hotel.
Different types of communication between me and my (almost all) male peers.
",no_safety/male_communication,"On business trips, I found nice colleagues to walk me to the hotel. At the university, I found a colleague who also preferred to not walk alone to the parking area at night after work. As a professor, I made the rule that women are always allowed to take a taxi at night and book the conference hotel.
There is an excellent course on communication differences by Peter Modler.",workaround/solution/help_others,"Regarding the performance and achievements, I should have been more recognized than I was.  Colleagues from other countries were really surprised about that. ",Expertise_perception,,,I have only be supported by some nice colleagues from Germany and other countries. My supervisor and the official institutions did not support me -- to use friendly words. ,Politics/ men_promote_men ,One important measure was to change the university. The other was to not care and simply do research.,No_solution/ Strengthen_self-esteem,,,,,,,,,,,,,,,,,"Yes, always.",No_reason,,,,,,,"Yes, it decreased though in the last years.",No_reason_mentioned,,,,,,
79,"IT (HCI, which is at the border of IT)",Computer Science,Master,Romania,Germany,,,Germany,,,Germany,No,Yes,No,No,Yes,No,No,,30-40,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,30-40,,,,No,No,No,No,Yes/Kind of,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,IT,Computer Science,Master,Germany,Germany,,,Germany,,,Germany,No,No,No,No,Yes,No,No,,20-25,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,computer science,Computer Science,Master,Germany,Germany,,,,,,Germany,No,Yes,No,No,No,No,No,,30-40,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,30-40,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Computer Science ,Computer Science,Master,Germany,Germany,,,Germany,,,Germany,No,No,No,No,Yes,No,No,,26-30,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Informatics and Linguistics (Natural Language Processing),Computer Science,PhD,Germany,Germany,Scotland,,Germany,Scotland,Spain,Germany,No,No,No,Yes,No,No,No,,30-40,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,30-40,,,,,,,Yes/Kind of,,No,,,,No,,,,,No,Yes/Kind of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Was not taken seriously / overheard,Men_promote_men,,,,,,,,,,,,,,,,,,,No answer,,,,No answer,,Initiative of university to prefer hiring females/members of underrepresented or minority groups in case of equal qualification,Help_by_others,,,,
143,databases,Computer Science,PhD,Germany,Germany,UK,,Germany,Germany,Germany,Germany,No,No,No,Yes,No,No,No,,>40,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,>40,,,,,,,,,Yes/Kind of,,Yes/Kind of,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Computer Science & Life Sciences,Computer Science,PhD,Germany,Germany,,,Germany,,,Germany,No,No,No,No,Yes,No,No,,30-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,30-40,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""struggle"" with seniors that had to be put in author list. However, it was not a matter of gender more of seniority and prestige. some disiciplines are more title and prestige oriented than others...",Not_only_female,,,,,,,,,,
149,Computer Science Education,Computer Science,PhD,Germany,Germany,,,Germany,,,Germany,No,No,Yes,No,Yes,No,No,,>40,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,>40,,,,,,No,Yes/Kind of,,No,,,,,,,Yes/Kind of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Computer Sciene,Computer Science,PhD,Germany,Germany,,,Germany ,,,Germany,No,No,No,Yes,No,No,No,,30-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Computer Science,Computer Science,PhD,Germany,Germany,,,Germany,,,Germany,No,No,No,No,Yes,No,No,,>40,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,>40,,,,,Yes/Kind of,,Yes/Kind of,Yes/Kind of,Yes/Kind of,,No,Yes/Kind of,Yes/Kind of,,,No,No,No,,,,,,,,,,,,,,,,,,,"Japanese company, because of parental leave no bonus payment/salary increase agreed by the company mangement, for time before parental leave, although my boss fighted for that. ",work_conditions,"My boss arranged another additional payment, which he could decide on by himself. However, this is not relevant for the pension in contrast to the bonus payment/salary increase. ",no_solution,"The feeling, not being taken seriously
- payment
- prejudices
- verbal offensive
- not taken into account, that being parents involve lot of work. This surely also holds for fathers, however fathers only a few years ago started to be more present.",Prejudice Salary_expectation/ family_planningissues related to family planningchildcare/ Male_communication ,,,"- For many ""minor"" things, i never asked for support, except of my family
- no real dual career support
- awareness of problems and support for having a family and plan a scientific career at the same time",Family_planning/ No_reason_mentioned/NO-Support-for-Equality-Projects/Self_confidenc,"I had children only after my PhD. 
I renounced a pure academic career.
I did work part-time, although it was not helpful for the career.","Work_around,Good_daycare"," -arrogance, despite equal or minor competence
- being made insecure
- impudence","Men_promote_men, Expertise_perception","Searching working groups, where the athmosphere is convenient, and quit the others as soon as possible.",Change_workplace/ Help_by_others,,,,,,,,,"This also happens, because some women do not take part in discussions, or men just start talking, while women are waiting to be next.
However, younger women sometimes seem to be more present. And this also heavily depends on the character.",Self_confidence/Visibility,,,- promotion needs to be learned,Not_only_female,,,No answer,,,,,,,,,,,
156,Computer Science,Computer Science,Others,Germany,Germany,,,,,,Germany,Yes,No,No,No,No,No,No,HiWi for research,26-30,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Computer Science,Computer Science,Master,Germany,Germany,,,Germany,,,Germany,No,Yes,No,No,No,No,No,,30-40,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,30-40,,Yes/Kind of,No,,,No,Yes/Kind of,Yes/Kind of,No,,Yes/Kind of,,Yes/Kind of,,,Yes/Kind of,,Yes/Kind of,Yes/Kind of,,,,,,"Once ""we"" had a woman in a Niqab in an oral exam - the identification process was hard for the stuff, because there was no woman to check, that's why I came into play. I checked her, but it was strange to do it on a public toilet, because there are not enough non windowed rooms at the university I came from.",cultural_clothing,"Once ""we"" had a woman in a Niqab in an oral exam - the identification process was hard for the stuff, because there was no woman to check, that's why I came into play. I checked her, but it was strange to do it on a public toilet, because there are not enough non windowed rooms at the university I came from.",workaround,"I'm not sure, if this fit's but we are always in trouble with students from other countries, who do have trouble naming us and naming themselves in the European way.",naming_problem/not_only_female,,,,,,,,,,,"An old professor told me not to wear skirts, because women don't fit in computer science. ",Conventions,I talked with friends about my feelings and tried to not speak to that professor again.,help_by_other,,,,,"Sometimes and only sometimes men do not accept me. It happened once because of the cultural background and sometimes without a real reason, maybe because I was the only woman, maybe because I had other ideas in group work. I really don't like these jokes about women and technology, which are used to lough about me and other female students. ","Men_promote_men, Undermining","When circumstances allow, I talk to supervisors or the project leader. When I was a student, I once talked to the course supervisors. It didn't really help, but I learned to ignore those persons. ",No_solution,,,,,,,,,"Every week in the project meetings, we have some ""alpha men"" in our group, who like to talk a lot and they don't pay any attention to my try to speak. ",Self_confidence/Visibility,I gave up ^^,Giving_up,,,,,"Oh yes. I once worked with a male professor, who forced us to give him the first authorship, what we did.
In my case, men would always like to write their names on it because they have contributed something. And that's despite the fact that some of them have previously claimed that my subject area is ""soft"" and uninteresting. But when they realise that the field does lead to publications, they think they belong on the paper because they were there at a meeting and gave their opinion.",Self_confidence/Visibility,"I have a great supervisor (male) and a female mentor, who help me to stay confident.",Strengthen_self-esteem/Help_by_others,"As already said in the research project I'm working on are some loud and confident male persons, they tend to get priority in the meetings, because they argue loud and often about their needs.",Self_confidence,I need to schedule extra meetings with some partners for my work.,Work_around,,,,
162,Computer Science,Computer Science,Master,Germany,Germany,,,Germany,,,Germany,No,Yes,No,No,Yes,No,No,,26-30,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,20-30,,,Yes/Kind of,,,,No,,Yes/Kind of,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Computer Science,Computer Science,Master,Germany,Germany,,,Germany,,,Germany,No,Yes,No,No,No,No,No,,26-30,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,20-30,,,,,,,,,,,Yes/Kind of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
