id;technical_ideasharing;label;technical_ideasharing_solution;label_1;technical_appreciation;label_2;technical_appreciation_solution;label_3;technical_publications;label_4;technical_publications_solution;label_5;technical_researcher;label_6;technical_researcher_solution;label_7;technical_others;label_8;technical_others_solution;label_9
115;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
119;No answer;;nan;;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
121;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
126;Everybody are bussy and my profs supervised many doctoral students. So he hast to share his resources. ;Not_only_female;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
130;nan;;nan;;nan;;nan;;No answer;;nan;;No answer;;Initiative of university to prefer hiring females/members of underrepresented or minority groups in case of equal qualification;Help_by_others;nan;;nan;
133;No answer;;nan;;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
135;nan;;nan;;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
139;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
141;nan;;nan;;No answer;;nan;;nan;;nan;;No answer;;nan;;nan;;nan;
145;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
148;nan;;nan;;nan;;nan;;"""struggle"" with seniors that had to be put in author list. However, it was not a matter of gender more of seniority and prestige. some disiciplines are more title and prestige oriented than others...";Not_only_female;nan;;nan;;nan;;nan;;nan;
151;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
154;"This also happens, because some women do not take part in discussions, or men just start talking, while women are waiting to be next.
However, younger women sometimes seem to be more present. And this also heavily depends on the character.";Self_confidence/Visibility;nan;;- promotion needs to be learned;Not_only_female;nan;;No answer;;nan;;nan;;nan;;nan;;nan;
158;difficulty to attend conferences when parenting;Parenting;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
161;"Every week in the project meetings, we have some ""alpha men"" in our group, who like to talk a lot and they don't pay any attention to my try to speak. ";Self_confidence/Visibility;I gave up ^^;Giving_up;nan;;nan;;"Oh yes. I once worked with a male professor, who forced us to give him the first authorship, what we did.
In my case, men would always like to write their names on it because they have contributed something. And that's despite the fact that some of them have previously claimed that my subject area is ""soft"" and uninteresting. But when they realise that the field does lead to publications, they think they belong on the paper because they were there at a meeting and gave their opinion.";Self_confidence/Visibility;I have a great supervisor (male) and a female mentor, who help me to stay confident.;Strengthen_self-esteem/Help_by_others;As already said in the research project I'm working on are some loud and confident male persons, they tend to get priority in the meetings, because they argue loud and often about their needs.;Self_confidence;I need to schedule extra meetings with some partners for my work.;Work_around;nan;;nan;
163;nan;;nan;;Yes, as they seem more intelligent and competent.;Expertise_perception;Show that every one should be rated according to his/her qualification.;Be_role_model;nan;;nan;;nan;;nan;;nan;;nan;
165;No answer;;nan;;No answer;;nan;;No answer;;nan;;No answer;;nan;;nan;;nan;
167;I was for instance recommended to not present my results in the group and at conferences because it was not perfect. Men can present non-perfect results, but I would not stand the critics I would get. So, to protect my feelings, I was not allowed to present my results although I wanted.;Expertise_perception;nan;;"The results of men are real results, my results were often not believed to be mine. For instance, I was told they were too good, they must stem from someone else with more competence than I can have. 
This happend the stronger, the more qualified I was. I suppose it was because my results improved, so the difference between what they expect from a woman and of what I deliver was larger.";Expertise_perception;nan;;"We had a male colleague who squeezed into the author list although he had not worked on the paper at all. He just allowed his (female) PhD student to publish it.
I had also problems publishing, was not always allowed to publish my results.";Undermined;nan;;Yes, all the time. People say it is eithcal to give them priority. They need unlimited jobs and high salaries to nourish their familiy and build a house. I as a woman can become a housewife. So, I need no job at all, can do research at my kitchen table.;Undermining/Expertise_perception;nan;;nan;;nan;
174;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
178;nan;;nan;;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
180;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;No answer;;nan;
185;nan;;nan;;Sometimes this happens but for the issue I mentioned before of being in minority. ;Men_promote_men;nan;;nan;;nan;;nan;;nan;;If you see architectural couples working together, normally the men is a PhD and the woman no. Research needs time and concentration and it is difficult the conciliation with family. ;Not_connected;nan;
191;nan;;nan;;nan;;nan;;It was hierarchical issue, not because of gender.;Not_only_female;nan;;nan;;nan;;nan;;nan;
194;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;No answer;;nan;
196;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;Organisational aspects in a collaborative project fall to me when I am the only woman on the team. It is also hard to be aggressive and assertive when working with an all-male team. I feel like I also have to push harder to get the same level of support in a collaborative project in comparison to a male colleague.;Self_confidence;I ask other male colleagues / supervisor to help with pushing other male colleagues in a collaborative setting.;Help_by_others
198;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
201;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
205;nan;;nan;;Sometimes, I felt like I am not even seen as part of the project, although I was the key initiator. Male researchers with equally or less successful PhDs were called genius and highly valuable etc., I was just that one woman on the team.;Expertise_perception;"I am not working there any longer ;) ";Change_workplace;nan;;nan;;Who was invited to give talks often was a decision based on someone knew a guy even though there were more successful women who could have talked about the same thing;Visibility;nan;;Not sure whether this is of interest but I was explicitly mentioned in the realm of research projects I wasn't part of, just so the project looked more diverse. Me explicitly saying that I don't want this was just ignored.;Undermining;nan;
208;nan;;nan;;Yes.;;nan;;Yes;;nan;;nan;;nan;;nan;;nan;
214;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
216;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
219;nan;;nan;;No answer;;nan;;No answer;;nan;;No answer;;nan;;nan;;nan;
224;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
229;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
