id;work_equality;label;work_equality_solution;label_1;work_unsupported;label_2;work_unsupported_solution;label_3;work_collaborations;label_4;work_collaborations_solution;label_5;work_infrastructure;label_6;work_infrastructure_solution;label_7;work_others;label_8;work_others_solution;label_9
42;nan;;nan;;nan;;nan;;Being talked over and ignored, having less published output because male colleagues tend to care less about how good their output is;Undermining;nan;;No answer;;nan;;nan;;nan;
45;No answer;;nan;;No answer;;nan;;No answer;;nan;;No answer;;nan;;nan;;nan;
49;No answer;;nan;;No full time jobs for women, only for male phd students;Salary_expectation;nan;;sexist comments and behaviour, ;Male_communication;nan;;nan;;nan;;nan;;nan;
51;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
54;"Participating at a event as ""statutory woman""";Undermining;"Deciding on my own if I -want- to participate in the event.
Taking the chance anyway.";Strengthen_self-esteem;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
57;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
60;nan;;nan;;Younger emploees were preferred;young_preferred? Not_only_female;I looked for new contexts of exchange relationships on an informal base;Help_by_others;nan;;nan;;nan;;nan;;nan;;nan;
62;the german are alloways choosen by companies;Ininternationality;nan;;Men allways have the priority to travel foe working, seminars or conferences;Politics/ men_promote_men ;nan;;nan;;nan;;nan;;nan;;nan;;nan;
66;Regarding the performance and achievements, I should have been more recognized than I was.  Colleagues from other countries were really surprised about that. ;Expertise_perception;nan;;I have only be supported by some nice colleagues from Germany and other countries. My supervisor and the official institutions did not support me -- to use friendly words. ;Politics/ men_promote_men ;One important measure was to change the university. The other was to not care and simply do research.;No_solution/ Strengthen_self-esteem;nan;;nan;;nan;;nan;;nan;;nan;
69;"I was lucky not to have faced serious discrimination, just a few anekdotes. During my studies a collegue answered to all of my question with ""And you dont know this?"" And then explained things. It took me some semesters to realize that he had not the slightest clue im most of the times and was just talking nonsense. He did not behave the same way to our male collegues. 
Lately (Im at the very end of my phd) I sometimes here the comment (when talking about becoming professors) that I have high chances to become one because Im a woman. Not because im skilled or eager. Just because women are prefered in generell. (Which is depatable in my opinion having under 10% female professors in my field in Germany). I also participate in a networking programm for female scientists and very often my male collegues and my professor feel discriminated because they are not allowed to take part in it (not to say that similar courses are offered by the gradschool for all genders which the very same collegues never participate in).  ";Undermining;Well, just have the facts at hand and tell them that their opinion is not reflecting the reality and that man still dont suffer generic discrimination in the hard sciences. ;Strengthen_self-esteem;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
71;"Male colleagues were more often praised and encouraged, even when they were not as productive and did not take as much responsility as i did.
It was rather depressing when i was more often at work and actually got more work done as a part time worker, than my male colleague with full time (and full pay!) and still, he got praised, while i was ignored.";Salary_Expectation;nan;;Having kids and supporting women was a big thing, until it really happened. Then it was a nuissance at work.;family_planning/ childcare;nan;;No answer;;nan;;nan;;nan;;nan;;nan;
73;No answer;;nan;;No answer;;nan;;No answer;;nan;;No answer;;nan;;nan;;nan;
76;Non-research tasks at work (at the institute) are often applied to women, because it is assumed that women do better in the, e.g., included organizational aspects of non-research work (which is possibly true, but leads to situations, where women very often do big parts of the non-research stuff, while men can focus on their own research).;Undermining;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
78;nan;;nan;;nan;;nan;;With some men, esp. in my own lab, I find it sometimes hard to collaborate since their style of communication appears to be rather egocentric than collaborative. ;Male_communication;I adapated some sort of communication of being more straight forward, strincter and communicating my needs directly but friendly. ;Strengthen_self-esteem;nan;;nan;;nan;;nan;
80;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
84;No answer;;nan;;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
87;nan;;nan;;nan;;nan;;Adoption of results which I was the PI for.;No_reason_mentioned;nan;;nan;;nan;;nan;;nan;
89;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
92;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;None;;nan;
95;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
97;nan;;nan;;nan;;nan;;Some men have been sexist or did not see their priviledges ;Male_communication;nan;;nan;;nan;;nan;;nan;
103;different expectation for men and women;Meet_expectations;enough self-convidence/ support from others;Strengthen_self-esteem/help_by_others;see previous answer;Meet_expectations;nan;;see previous answer;Strengthen_self-esteem/help_by_others;nan;;nan;;nan;;nan;;nan;
107;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
109;nan;;nan;;nan;;nan;;nan;;nan;;see above: Equimpent with too high windows, handles,...;Not_suitable_equipment ;see above: Footstool, help, diverse group;Help_by_others;nan;;nan;
113;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
115;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
119;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
121;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
126;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;Short term working contract at the university is stressfull (no clear perspective) ;Work_conditions;nan;
130;nan;;nan;;nan;;nan;;Was not taken seriously / overheard;Men_promote_men;nan;;nan;;nan;;nan;;nan;
139;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
141;nan;;nan;;nan;;nan;;No answer;;nan;;nan;;nan;;nan;;nan;
145;nan;;nan;;It is really hard to get a research paper and guidance in particular topic. If research paper is free then you can download it but if not then leave it. Same applies of Norms..;Not_suitable_equipment/ supervision;"Whenever I need a norms I just write email to everyone asking for it. If someone have it I get it. 
For research paper there is no solution. Even finding books is also tough. 
There is a rocket chat now by which we can ask specific question to the group.";Help_by_others/ No_solution;nan;;nan;;nan;;nan;;nan;;nan;
148;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
151;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;During my pregancy I was not sure, if I could go into all laboratories or if there were dangerous materials stored or had been used inside;Work_conditions/pregnancy;nan;
154;"The feeling, not being taken seriously
- payment
- prejudices
- verbal offensive
- not taken into account, that being parents involve lot of work. This surely also holds for fathers, however fathers only a few years ago started to be more present.";Prejudice Salary_expectation/ family_planning/childcare/ Male_communication ;nan;;"- For many ""minor"" things, i never asked for support, except of my family
- no real dual career support
- awareness of problems and support for having a family and plan a scientific career at the same time";Family_planning/ No_reason_mentioned/NO-Support-for-Equality-Projects/Self_confidenc;"I had children only after my PhD. 
I renounced a pure academic career.
I did work part-time, although it was not helpful for the career.";Work_around,Good_daycare;" -arrogance, despite equal or minor competence
- being made insecure
- impudence";Men_promote_men, Expertise_perception;Searching working groups, where the athmosphere is convenient, and quit the others as soon as possible.;Change_workplace/ Help_by_others;nan;;nan;;nan;;nan;
158;nan;;nan;;nan;;nan;;nan;;nan;;lack of information on how to establish internatonal cooperation, short term stay aborad with small children;Internationally/childcare/Parenting;nan;;"corona: work from home is the insitutional agenda, however postal messages and forms are not forwarded. 
difficulty when onboarding that the new university and research institute: mobile onboarding covers administration but not and ""explanation"" about administrative ways and organizational culture.";Not_suitable_equipment;nan;
161;An old professor told me not to wear skirts, because women don't fit in computer science. ;Conventions;I talked with friends about my feelings and tried to not speak to that professor again.;help_by_other;nan;;nan;;Sometimes and only sometimes men do not accept me. It happened once because of the cultural background and sometimes without a real reason, maybe because I was the only woman, maybe because I had other ideas in group work. I really don't like these jokes about women and technology, which are used to lough about me and other female students. ;Men_promote_men, Undermining;When circumstances allow, I talk to supervisors or the project leader. When I was a student, I once talked to the course supervisors. It didn't really help, but I learned to ignore those persons. ;No_solution;nan;;nan;;nan;;nan;
163;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
165;No answer;;nan;;No answer;;nan;;In der Zusammenarbeit mit Männers herrscht eine deutlich agressiver Umganston. Das schreckt mich oft ab, mit ihnen zusammenarbeiten zu wollen.;Men_promote_men;nan;;nan;;nan;;nan;;nan;
167;"Usually, it was assumed that I have not studied and have no work experience. I was regularly told to that ""for being sure"" they assume I have no relevant work experience. So, I was considered a job beginner at every job. When a new male colleague came, he was welcomed as ""one man more in the team"" and given real work from the beginning. I was told they have no time for explaining me their work I shall sit and read something and not keep others from working. So, the treatment was different from the beginning., I had different tasks and when I complained, they again explained me the difference between men and women. Men are colleagues, women are constant trainees.";Prejudice/Undermining;nan;;nan;;nan;;As long as I was young and asking only questions, it was OK for them. Men like to explain things to women and feel superior. But when I started having work experience and my own opinion, there was a lot of resistance against working with me. ;Men_promote_men;nan;;nan;;nan;;nan;;nan;
174;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
178;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
180;Men promote men. Less pay.;Salary_Expectation/Men_promote_men;nan;;No answer;;nan;;Do not take serious. Think that stop to work after marriage / children. Continue work in pubs and at sports events where women are not present. Think that your task is to serve them. Take your results and claim for themselves. ;Self_confidence/ family_planning/Undermining/ to_be_discussed (stealing ideas?);nan;;No answer;;nan;;nan;;nan;
185;nan;;nan;;Still we are afraid to address certain topics in a bottom up process. We need a topdown compromise. Culture is behind in that aspect. ;Self_confidenc;nan;;I had fantastic and horrible experiences both with women and men but I would like to highlight that as architecture and planning in the precedent generation of mine was mainly a men discipline, sometimes I feel in minority in certain activities. From this minority is more difficult to empower.;Men_promote_men;nan;;nan;;nan;;nan;;nan;
191;nan;;nan;;Not so much promotion for the foreign scientists;Not_only_female/ Discrimination/Internationally;nan;;nan;;nan;;nan;;nan;;nan;;nan;
194;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
196;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
198;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
201;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
205;nan;;nan;;nan;;nan;;"Older people at the institute made very misogynist comments or were commenting on my outfits when they thought they were nice (although I had no contact with these people otherwise); some collaborators took my male students more serious than me, although I was the project leader; I was told to smile more after a talk instead of any scientific input; I needed to tell people off for flirting instead of working with me.";Male_communication/ Conventions;I tried not to interact with these people;No_solution;"There was only one female bathroom with one toilet on my floor; I often had to go several floors down if someone else was using it, which was more often than not with four female secretaries, one other female student and me sharing this one bathroom. The male bathroom right next to it had 4 cubicles.";Not_suitable_equipment ;nan;;nan;;nan;
208;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;Keine Unterstützung meiner Forschungsthemen;supervision;nan;
214;nan;;nan;;many social aspects are structured around going out late at night with in most cases just men. These are rather subtle things. but collaborations are best with people one likes to hang out with have fun and in most cases beers. Despite this being unproblematic for myself I see lots of my female colleagues with different cultural or personal backgrounds not participating in these activities which ultimately lead to less equality.;Men_promote_men;nan;;nan;;nan;;nan;;nan;;nan;;nan;
216;No answer;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
219;nan;;nan;;No answer;;nan;;No answer;;nan;;nan;;nan;;No answer;;nan;
224;the equal opportunities officer himself uses sexist slides in his lecture...;Male_communication;nan;;see equality;;nan;;lack of understanding / refusal to 'gender' (use male and female form for occupations words etc. as opposed to only using the male form in writing);Men_promote_men;insisting to do that in written form and lead discussions about it;Help_by_others;see equality;;nan;;nan;;nan;
229;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
