id,personal_hormones,label,personal_hormones_solution,label,personal_lifeplan,label,personal_lifeplan_solution,label,personal_responsibilities,label,personal_responsibilities_solution,label,personal_pregnancy,label,personal_pregnancy_solution,label,personal_others,label,personal_others_solution,label,
38,"It is very difficult to find an appointment with a gynaecologist, the answer is always :""we do not accept new patients!""",family_doctor/not_only_female,nan,,nan,,nan,,nan,,nan,,nan,,nan,,"Most of the ""Hausarzt"" in the city do not accept new patients, and once one said ""sorry we do not accept international patients! """,family_doctor/not_only_female,nan,,
42,Serious Pain due to endometriosis and treatment side effects,PMS,"Treatment works, so there are less situations where I struggle but the ones I still have are not solved at all",no_solution,How to have a family on a doctoral salary + with knowing that I will have to move several times if I stay in academia,family_planning ,nan,,nan,,nan,,nan,,nan,,"Various other health issues, including burn out",not_only_female,nan,,
45,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,No answer,,nan,,
49,No answer,,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
51,No answer,,nan,,nan,,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,
54,The toilets are not equipped well enough.,not_suitable_equipment,Using the toilet for disabled people,workaround,Living far from familiy,not_only_female,nan,,not seeing my family,not_only_female,Arrange a mobile office day to travel to my family and work on the train,workaround,nan,,nan,,nan,,nan,,
57,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
60,nan,,nan,,"Jobs were temporary and often extended in the very last minute, jobs were abroad, family stayed in an other city",family_planning/not_only_female,My husband and his employer were challenged to zhe situation and filled the gaps,no_solution,Parenting two children with ADHS and Legasthenie ,parenting,nan,,nan,,"I quitted the job",change_workplace,nan,,nan,,
62,nan,,nan,,nan,,nan,,nan,,nan,,no companies accept to employ me,pregnancy ,nan,,nan,,nan,,
66,nan,,nan,,nan,,nan,,"As a single mother, my colleagues considered my time with my child equivalent to their hobbies. They waited at faculty meetings until the point in time when I had to leave for getting my child from the kindergarten in order to decide about issues where they knew that I had a different opinion from them. They expected me to ""organize away"" my child, but I wanted to have some hours per day with my child. ",parenting/undermining,"Once, I organized that my child went to a friend after kindergarten. The faculty moved the critical topics again and again to later points in time -- but to their surprise, I stayed...Well, my h-index suffered a lot.",no_solution,"The time I stayed at home directly before and after delivering, I still answered emails and supervised my students through email. Hence, many colleagues considered me being there and afterward complained that I did not do certain tasks. Some really felt offended by me not showing up at certain meetings. Of course, I had informed everybody. Another interesting point: a colleague stated that another female professor took her baby to the university. He complained: "" These women do not know what they want"". ",pregnancy/male_communication,nan,,nan,,nan,,
69,nan,,nan,,"My professor expects that our work is our life. Everytime when you ask for holidays he make comments (which he thinks that are funny) about that he will not allow for the vacation. Also if you want to meet with him, you have to stay after 7 in the evening. Before that, he has no time for scientific discussions (he tells you that we will meet in the morning, then postpone it to lunch, afternoon, and so on). Deadlines are also popping up always veery suddenly and urgent. He knows of them for weeks, but deligates it only few days before its due, or sometimes even after that. That makes it very challenging to plan and schedule your responsibilities, weekend, vacations, and so on.  ",not_only_female,"The key here is to not take things too seriously. I cant change him (generations of phd students before me tried that). I can change my attitude of feeling responsible for everything. Im still working on my attitude, but I have learned that taking vacations/weekends is also a very important responsibility of me for myself. ",no_solution,nan,,nan,,nan,,nan,,nan,,nan,,
71,nan,,nan,,nan,,nan,,No answer,,nan,,No answer,,nan,,nan,,nan,,
73,No answer,,nan,,No answer,,nan,,No answer,,nan,,No answer,,nan,,nan,,nan,,
76,"The toilets at work (at the university) are dirty and seem very unsanitary. Especially during menstruation this is very unpleasant and leads to uncomfort.Strong headaches during menstruation are common, but staying at home frequently (every month) is not understood, instead one feels subliminally forced to take painkillers to continue working.",not_suitable_equipment/PMS,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
78,"Sometimes having trouble due to painful periods to be fully concentrated at work in the first one or two days of period - pain killers help, but make me kind of drowsy",PMS,nan,,"My partner has a job with a fixed location (teacher at vocational school) in a different city, which makes personal life sometimes difficult, since I don't want to move either, as my job opportunities are better in a different city. ",family_planning ,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
80,nan,,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
84,nan,,nan,,"Choice for children was questioned, personal goals regarding professional development were belittled",family_planning/male_communication,nan,,"Leave due to caring for sick children was commented on in a negative manner, choice to reduce working hours to spend more time with children was strongly discouraged as detrimental and unnecessary (children can be left in daycare for 10 hours a day, so why should one reduce their working hours)",parenting/male_communication,I did not listen to the silly comments and reduced my working hours anyway.,no_solution,Responsibilities were taken away during/after maternity leave without discussion or warning. After making the choice to reduce working hours (to 80%!!!) my own project was taken away and I was forced to work as a stopgap for various other colleagues --> no more first author publications possible,pregnancy/undermining,nan,,nan,,nan,,
87,nan,,nan,,No answer,,Permanent position was offered.,solution,No answer,,nan,,nan,,nan,,nan,,nan,,
89,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
92,nan,,nan,,"The question, wheter I should get pregnant.",family_planning ,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
95,nan,,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
97,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
103,nan,,nan,,nan,,nan,,"resonsible for child care, parents seriously ill",parenting/elder_care,well organised network to help me,good_daycare,child care,parenting,nan,,nan,,nan,,
107,nan,,nan,,"Difficult to combine full-time research job with private life (no time to cook normal food, do a workout, meeting with friends)",not_only_female,"Try to not overwork, e.g. instead of 12 hours a day, work only 9. Plus due to homeoffice during covid pandemic it was easier to hold on householding and work-life ballance.",solution,nan,,nan,,nan,,nan,,nan,,nan,,
109,"Not being perfectly fit the whole month, trying to avoid longer travelling at ca. 2-3 days a month. Few sanitary rooms for girls during studies. Few and very bad sanitary rooms in industrial research job.",PMS/not_suitable_equipment,nan,,nan,,nan,,Eager researchers are not expected to spend more time than necessary on family care,parenting,nan,,nan,,nan,,nan,,nan,,
113,nan,,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
115,nan,,nan,,limited employment contracts --> difficult to plan the future life (like parenting,family_planning ,no ideal time for parenting at each period of life --> if you are ready for kids  it's right. two doctoral students (partner and me) --> focus on finishing one doctoral thesis (giving freetime for working on phd),no_solution,"parenting, work and corona --> no time left for phd --> if you want to sleep and have some family-time",parenting,,,nan,,"find the motivation to restart with the phd, because I'm exhausted at the end of the day",,nan,,nan,,nan
119,nan,,nan,,nan,,,,nan,,nan,,nan,,nan,,nan,,nan,,
121,nan,,nan,,"Difficult to plan future together with partner, especially as a career in academia requires moving around",family_planning ,,,nan,,nan,,nan,,nan,,nan,,nan,,
126,nan,,nan,,nan,,nan,,"Especially during Corona Pandemic, where  schools are closing, it is almost impossible to concentrate on my research. The burden is so huge that I started to have sleeping disorders and panic attacks since I know that I can finish my research accordingly.  ",parenting,nan,,nan,,nan,,No answer,,nan,,
130,nan,,nan,,Long-distance relationship due to different work and living places,not_only_female,"For the moment, we live and work at the same place",workaround,nan,,nan,,nan,,nan,,nan,,nan,,
133,No answer,,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
135,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
139,nan,,nan,,ich bin mir nicht sicher wie der Job mit der Lebens-/Kinderplanung kombinierbar sein soll,family_planning ,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
141,nan,,nan,,No answer,,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,
145,"I am going through may be PMS but no doctor accept me as a patient in Germany. I have to wait till the flight will open to my country. I live here, work here, pay taxes but have to go to my country for check up because doctors here can refuse to take patient. Does matter how bad and helplless I feel during my period I have to work. ",PMS/family_doctor/not_only_female,nan,,I do not feel inclusive in my company. There is absolutely no personal life in my work place. All team building session in my company is also like just for name shake. People do not want to integreate with new people from different ethinicities. ,not_only_female,I made myself a person with zero social needs. Now it does not affect me if no one talk to me in an official get together.,no_solution,nan,,nan,,nan,,nan,,nan,,nan,,
148,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
151,Heavy weakness and pain. Changing sanitary products without a separated sink in the toilette,PMS/not_suitable_equipment,Homeoffice during heavy period days,workaround,nan,,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,
154,nan,,nan,,"- short time (6 month) contracts/unemployment/pregnancy/parental leave within a period of 12 years - more connected to a certain area - due to familiy reasons, I gave up a professorship within the trial period, and thus could not keep the title. On the other hand, I had difficulties to find other positions due to overqualification",family_planning/parenting,"I did not solve the problem, but did not give up, and found a permanent position after 12 years.",no_solution,"The responsibility for several children and a scientific carreer with short-time contracts  (depending on the children and their special needs) requires an amount of power, which is difficult to provide over a long period.",parenting,"I tried to find part-time positions, which causes problems on the ""results"" side. The regular times of unemployment, I used to first recover a bit, and then search for new positions. However, this is not a solution.",no_solution,"Caused by problems, I had to stop to work earlier than expected. It is sometimes mentally/organizatorional difficult to prepare oneself for a new child, and at the same time apply for new positions.",pregnancy ,"In general, I do not see solutions, if you are already established in a research group and are supported by the group. Once, I cancelled a ""Berufungsvortrag"" 10 days after birth. With the help of the ""Frauenbeauftragte"", I was invited six month later and got the professorship.",no_solution/help_by_others,nan,,nan,,
158,nan,,nan,,Uncertainty of job perspectives and difficulty to plan family formation,family_planning ,nan,,"need to communicate a lot to know expectations of supervisors and colleagues regarding work ethics, response time to messages, working hours and office times/ physical presence, likewise to inform about my workday and responsibilties",not_only_female,nan,,nan,,"talk with supervisor about expecations, work goals and time management",help_by_others,nan,,nan,,
161,"Yes, it's always shit to feel ill, when I need work. I have huge trouble with sleeping a week before my period, so I'm always tired at work, that's not enough to be ill like at the first days of my period, but it's reducing my power and I have too much to do, to just take this time easier.",PMS,nan,,"As you saw, I'm over thirty. I'm female, my contract runs for another year. After that, only temporary contracts beckon again. As I get older, I would like more stability. I'd like to have children, but I'm putting it off until after the doctorate, in the hope that I'll find something more stable to work there. And on the other hand, I love the work at universities, I love to teach and to do research, that's why I'm still here.",family_planning ,Putting it off :( - hoping for a better moment,no_solution,"At the beginning of my time as a doctoral student, I needed to stay home for elder care. This ""problem"" is now gone, so I changed to a better fitting job at another university, which is not near my hometown.",elder_care,"There is no one left, who needs care.",sit_out,nan,,nan,,nan,,nan,,
163,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
165,nan,,nan,,No answer,,nan,,"Elterschaft und Wissenschaft sind schwer vereinbar, da erwartet wird, dass man mehrmals den Arbeitsplatz und damit auch den Wohnort wechselt. Zudem wird die h�ufige Teilnahme an Tagungen erwartet. Die Teilnahme am Abendprogramm erscheint mir f�r das Netzwerken fast noch wichter zu sein, als das eigentliche Tagungsprogramm.",parenting,nan,,"Ich hatte in der Schwangerschaft sehr starke Konzentrationsprobleme und war kaum in der Lage, an meiner Dissertation weiterzuarbeiten. Trotzdem liefen meine Zeiten im Rahmen des WZVG ab.",pregnancy ,nan,,nan,,nan,,
167,nan,,nan,,There were jobs where I had almost no private life. ,not_only_female,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
174,nan,,nan,,nan,,nan,,Dog care. Dogs are generally not allowed within university buildings.,not_only_female,nan,,nan,,nan,,nan,,nan,,
178,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
180,nan,,nan,,Double career is impossible. Always long distance between workplaces of a couple. Had to travel more than 15 years of my life. ,not_only_female,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,
185,"I suffer endometriosis, and I feel ashamed of explaining my problem to my work team. I feel they won't understand it. I feel there is not too much support for us in institutions regarding this topic. ",PMS/male_communication,Sharing my feelings with other women with the same problem helps me psychologically but I don�t know how to address it in other levels. ,no_solution,"I feel there is not support for preconception and conception. Till the moment a woman is not pregnant we won't find any help. Sometimes this process is long and difficult, and you need to start a fertility treatment. Then, stress and traveling can make things more difficult. We are always afraid of speaking about this things. More flexibility and support will help.  On the other hand, the topic is never spoken directly. ",male_communication,nan,,Traditionally we are expected to take care of other family members even if don't have children. This is a big pressure. ,elder_care,nan,,nan,,nan,,nan,,nan,,
191,nan,,nan,,Difficulties in life-planning because of the non-permanent contract conditions. Difficulties to find a suitable job for the marritage partner,family_planning ,Changed an employer,change_workplace,nan,,nan,,nan,,nan,,nan,,nan,,
194,No answer,,nan,,No answer,,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,
196,Menstrual cramps make it hard to focus during work. Additional PMS symptoms add to stress.,PMS,Found workarounds and flexible working hours.,workaround,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
198,nan,,nan,,No answer,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
201,No answer,,nan,,"I could not easily plan for my life because of the short contracts.It is really hard to balance work, studying I search for longer contracts to support my family financially.",family_planning ,nan,,"I do everything without local support parenting, housekeeping, working studying ",parenting,nan,,nan,,nan,,nan,,nan,,
205,"I have very painful periods including severely painful menstrual cramps and migraines, this has led to me taking a day off regularly each month. There wasn't really an understanding for that by my male group leader (weird comments and awkward talks followed)",PMS/male_communication,Took more painkillers than before and continued going to work with cramps and migraines,no_solution,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
208,nan,,nan,,"befristete Stelle an der Uni --> langfristige Planung schwierig. Zur ""Absicherung"" habe ich die Stelle an der Uni auf 50% reduziert und eine weitere 50-%-Stelle au�erhalb der Wissenschaft angenommen.",not_only_female,"Zur ""Absicherung"" habe ich die Stelle an der Uni auf 50% reduziert und eine weitere 50-%-Stelle au�erhalb der Wissenschaft angenommen.",change_workplace,nan,,nan,,nan,,nan,,nan,,nan,,
214,nan,,nan,,Unexpected move of the lab and no option for the partner to move. Less common for a male partner to be willing to give up his plans. So double stress of having to go back and forth. ,male_communication,nan,,housekeeping ,parenting,nan,,nan,,nan,,nan,,nan,,
216,No answer,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
219,No answer,,nan,,No answer,,nan,,No answer,,"Good partnership with my husband Relevant  factor: The kids getting older",sit_out,No answer,,nan,,nan,,nan,,
224,No answer,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
229,Practically not able to work during first day of period,PMS,nan,,High mobility required  --> challenge for partner,not_only_female,nan,,nan,,nan,,nan,,nan,,nan,,nan,,
