id;cultural_religion;label;cultural_religion_solution;label_1;cultural_clothing;label_2;cultural_clothing_solution;label_3;cultural_namechanging;label_4;cultural_namechanging_solution;label_5;cultural_infrastructure;label_6;cultural_infrastructure_solution;label_7;cultural_others;label_8;cultural_others_solution;label_9
154;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;Japanese company, because of parental leave no bonus payment/salary increase agreed by the company mangement, for time before parental leave, although my boss fighted for that. ;work_conditions;My boss arranged another additional payment, which he could decide on by himself. However, this is not relevant for the pension in contrast to the bonus payment/salary increase. ;no_solution
158;nan;;nan;;nan;;nan;;nan;;nan;;No answer;naming_problem;Constant communication about who I am, being the person that run under a different name before.;workaround;nan;;nan;
161;nan;;nan;;"Once ""we"" had a woman in a Niqab in an oral exam - the identification process was hard for the stuff, because there was no woman to check, that's why I came into play. I checked her, but it was strange to do it on a public toilet, because there are not enough non windowed rooms at the university I came from.";cultural_clothing;"Once ""we"" had a woman in a Niqab in an oral exam - the identification process was hard for the stuff, because there was no woman to check, that's why I came into play. I checked her, but it was strange to do it on a public toilet, because there are not enough non windowed rooms at the university I came from.";workaround;I'm not sure, if this fit's but we are always in trouble with students from other countries, who do have trouble naming us and naming themselves in the European way.;naming_problem/not_only_female;nan;;nan;;nan;;nan;;nan;
163;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
165;nan;;nan;;Bei einem wissenschaftlichen Vortrag trug ich ein gebl�mtes Kleid und eine Flechtfrisur. Ich hatte den Eindruck, dass meine haupts�chlich mannlichen Kollegen �berkritische Fragen stellten, die zudem erkennen lie�en, dass sie dem Vortrag nur teilweise gefolgt waren. Ein Kollege merkte danach an, ich h�tte wie eine Grundschullehrerin gewirkt. Vier Wochen sp�ter hielt ich denselben Vortrag und trug einen schwarzen Anzug und eine wei�e Bluse vor einem �hnlichen Publikum. Die R�ckmeldungen zum Vortrag waren deutlich positiver und interessierter.;cultural_clothing/conventions/expertise_perception;nan;;Ich habe bei der Hochzeit meinen Namen nicht ge�ndert, weil ich Angst hatte, dass man meine Ver�ffentlichungen dann nicht mehr auf meine Autorinnenschaft beziehen kann. Das habe ich nachtr�glich ein wenig bereut.;naming_problem ;nan;;No answer;;Universit�tswechsel;change_workplace;nan;;nan;
167;One of my colleagues was a satanist and I am wearing a silver cross around the neck.;limited_religious_freedom;We did not talk about religion. I had to quit the job anyway as my bosses had problems with my high qualification. They were making jokes about people from academics who did not get a professor position and then are worthless.;no_solution;I was professor, and one of my assistants was telling everyone, including our students, that she would never wear such clothes as I do. (pinstripe trousers and jacket). ;mobbing/conflict_ability_across_women;She lost the job. Joke. No, we had a lot of further problems with each other. So, I did not continue her contract which was limited anyway.;solution;nan;;nan;;"I got a very slow computer with loud keyboard and very small disk space. I was sitting in the same room with my boss. As he said he can not work while I type, he forbade me to type while he is in the office. So, then I started work earlier in the morning to type before he arrives. During his presence, I did not type but read instead. As I started to work early, I thought at first I can go home early. But then he complained that I am lazy and go home so early. So, I came early and stayed as long as before. Instead, I made a longer break around noon, writing private emails. Then, he started telling everyone that during the day, I do not productive work at all. Either I read or I write private emails. He never sees me working. (Because I did the writing in the morning, before he came!) 
The other problem with the disk space: I worked on course material for several weeks. When they were done,  I sent them to my boss by email. Then, I had the file twice: as file and in the emails. To save space, I deleted the email. Then, the disk space still was not sufficient, so I moved the course material to a shared folder in the network. On a day when I was not in the office, my boss deleted this file because he said he did not know what it was and assumed it was useless. As I had sent hom the course by email, I asked him to look for the email and restore the course material, but he did not do it. I asked several times, then I had to understand that my course was lost. ";mobbing/not_suitable_equipment/male_communication;I lost the job. Not because of the infrastructure, but because of my notorious laziness. I was taken away most of my tasks when people heard that I studied English and French, notthing technical. I did not hear it before I left. In fact, I studied Physics and Engineering (two diplomas). So, that was probably the root cause of the problems. I had also further problems like that I was taken for a secretary, so everyone expected my to have access to my bosses calendar. As I had not, they thought I had instruction to give them no information. Etc etc. There were a lot of complaints about my work because they expected me to be a secretary what I was not. ;no_solution/change_workplace;nan (see “cultural_religion_solution”);male_communication;nan;
174;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
178;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
180;nan;;nan;;It is always a burden to decide about clothing. In an all-male culture, you cannot follow the dress code of men, esp. if it is (like in Computer Science) very casual. This again leads to a distinction between the male crowd and the female outstander. It is easier with formal dress code. ;conventions;Prefer formal clothing, if in doubt. No Skin. ;workaround;nan;;nan;;Deserted, dark buildings and paths in the evenings and weekends, not feeling safe. Desks to high. Lavs in remote places of the building. Large rooms without mics. ;no_safety/not_suitable_equipment;nan;;Has to comply to one of two stereotypes: 1) aggressive, career oriented, expensive clothing, noisy and disliked by everyone, or 2) nice, pretty, quiet, hard working, liked by everyone, but never advance in your career.;visibility/conventions;nan;
185;nan;;nan;;"In Spain and Italy clothing being a woman can be misunderstood. In certain circles it is stressful to decide what to wear to not be judge from others. This can make you feel uncomfortable and insecure in your work. 
In India, basically you have to adapt to their cultural rules even if you don't agree. 
In Germany this aspect has been easier than in other countries. I had felt more freedom. ";conventions/cultural_clothing;nan;;nan;;nan;;Faculties of architecture are changing a lot in the last years in terms of women presence. In the past it was fundamentally a men career, now it is the opposite. In that sense, normally, the University is not adapted to certain needs we have: security in the night, good toilets infrastructure, flexibility for mothers and future mothers. ;no_safety/work_conditions/not_suitable_equipment;"Adapting to what is there
Discussing the problem with others
Proposing ideas 
Complaining in certain situations";no_solution/help_others/complain;Communication: In one hand because language itself is sometimes men chauvinist.  Then because men always speak more in public events and are less inclusive than women. ;male_communication/visibility;nan;
191;nan;;nan;;nan;;nan;;Name translation and adaptation to another language;naming_problem/not_only_female;Simplification of the name writing;solution;nan;;nan;;nan;;nan;
194;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;Language;not_only_female;nan;
196;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;Name constantly mis-spelled or mis-pronounced. ;naming_problem/not_only_female;I tell people how to speak / spell my name;solution
198;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;Language;not_only_female;Had language lessons;solution
201;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
205;nan;;nan;;I was expected to dress more formal than my male colleagues;conventions;I ignored it and continued to wear what I like;no_solution;nan;;nan;;nan;;nan;;nan;;nan;
208;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
214;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
216;nan;;nan;;No answer - I am just taking a look at the survey;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
219;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;No answer;;nan;
224;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
229;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;;nan;
